Ticker;Price;Target Price;P/E;Forward P/E;P/B;PEG;P/FCF;Dividend %;Debt/Eq;Payout;EPS next 5Y;EPS growth next Y;Company;Sector;Industry;Date
APD;297.66;328.05;30.77;23.7;4.73;3.28;-;2.34%;0.65;67.40%;9.38%;10.89%;"Air Products and Chemicals; Inc.";Basic Materials;Specialty Chemicals;2023-07-18
ATO;115.94;125;20.67;18.2;1.68;2.78;-;2.53%;0.89;48.57%;7.43%;6.88%;Atmos Energy Corporation;;;2023-02-14
BKH;59.17;66.33;15.14;15.17;1.25;2.8;-;4.25%;1.45;62.70%;5.40%;3.27%;Black Hills Corporation;Utilities;Utilities - Diversified;2023-07-18
CMI;235.93;262.26;13.22;12.12;3.23;1.14;29.49;2.85%;0.74;35.00%;11.59%;-2.29%;Cummins Inc.;Industrials;Specialty Industrial Machinery;2023-09-12
CSCO;49;55.5;17.81;12.85;5.02;2.63;27.99;3.09%;0.22;54.00%;6.78%;8.01%;Cisco Systems, Inc.;;;2023-01-12
CVX;154.47;187.58;8.29;10.88;1.82;-;11.95;3.94%;0.15;31.00%;-7.68%;5.81%;Chevron Corporation;Energy;Oil & Gas Integrated;2023-07-18
EMN;88.53;95.43;14.06;9.95;1.99;3.59;34.39;3.57%;0.94;31.10%;3.91%;14.36%;Eastman Chemical Company;;;2023-02-14
ES;70.99;85.62;17.31;15.5;1.6;2.58;-;3.74%;1.51;62.00%;6.70%;6.64%;Eversource Energy;Utilities;Utilities - Regulated Electric;2023-07-18
HPQ;28.48;29.41;9.57;7.87;-;5.53;10.31;3.64%;-;32.80%;1.73%;10.36%;HP Inc.;;;2023-01-12
INGR;100.82;101.67;15;12.5;2.13;1.51;-;2.86%;0.8;38.80%;9.90%;10.41%;Ingredion Incorporated;;;2023-01-12
JPM;139.35;144.65;11.79;10.89;1.62;-;5.08;2.86%;1.08;33.70%;-0.99%;10.14%;JPMorgan Chase & Co.;;;2023-01-12
LEG;31.48;30;15.73;17.44;2.57;3.03;28.67;5.84%;1.27;87.70%;5.20%;10.74%;"Leggett & Platt; Incorporated";Consumer Cyclical;"Furnishings; Fixtures & Appliances";2023-06-14
MAIN;41.63;43.67;12.45;10.79;1.51;1.56;-;6.71%;0.92;59.00%;8.00%;-3.86%;Main Street Capital Corporation;Financial;Asset Management;2023-07-18
MAN;87.95;87.22;12.65;10.59;1.92;1.48;14.06;3.05%;0.37;33.20%;8.55%;19.11%;ManpowerGroup Inc.;;;2023-02-14
MED;94.95;75;7.37;10.6;5.98;0.37;8.3;7.01%;0;51.10%;20.00%;11.63%;"Medifast; Inc.";Consumer Cyclical;Personal Services;2023-07-18
MMM;114.33;122.86;11.36;12.13;4.32;-;132.75;5.20%;1.08;58.60%;-0.28%;9.91%;3M Company;;;2023-02-14
MO;45.76;49.43;14.7;8.82;-;4.29;62.4;8.22%;-;119.50%;3.42%;3.97%;"Altria Group; Inc.";Consumer Defensive;Tobacco;2023-06-14
NNN;42.97;48.31;22.59;21.89;1.89;2.31;-;5.10%;0.96;113.90%;9.79%;1.96%;"NNN REIT; Inc.";Real Estate;REIT - Retail;2023-07-18
NTAP;64.13;77.14;9.77;11.23;11.63;1.19;29.42;3.10%;1.99;29.80%;8.19%;6.12%;"NetApp; Inc.";;;2023-01-12
O;61.19;69.48;42.94;42.43;1.38;1.9;-;5.00%;0.65;208.90%;22.62%;7.29%;Realty Income Corporation;Real Estate;REIT - Retail;2023-06-14
PFE;40.28;46.8;7.94;11.5;2.25;-;20.42;4.07%;0.36;31.10%;-14.94%;4.69%;Pfizer Inc.;Healthcare;Drug Manufacturers - General;2023-06-14
SNY;47.34;63.5;16.45;9.52;1.63;1.34;-;3.69%;0.3;-;12.30%;10.20%;Sanofi;;;2023-02-14
SON;58.56;64.57;11.42;9.75;2.58;-;80.76;3.53%;1.44;38.50%;-1.50%;2.08%;Sonoco Products Company;Consumer Cyclical;Packaging & Containers;2023-07-18
SWK;88.96;92.33;-;17.85;1.4;-;-;3.60%;0.84;65.70%;20.22%;412.86%;"Stanley Black & Decker; Inc.";Industrials;Tools & Accessories;2023-06-14
SWKS;121.38;122.86;16.49;11.16;3.48;1.1;24.91;2.05%;0.39;32.10%;15.00%;14.50%;"Skyworks Solutions; Inc.";;;2023-02-14
TSN;50.26;56.66;12.02;14.18;0.92;1.6;-;3.82%;0.46;44.70%;7.50%;120.05%;"Tyson Foods; Inc.";Consumer Defensive;Farm Products;2023-06-14
UNM;42.67;46.15;6.57;6.28;0.99;0.72;6.44;3.09%;0.4;21.90%;9.18%;5.85%;Unum Group;;;2023-02-14
USB;32.7;44.23;8.72;6.88;1.08;2.27;4.73;5.87%;0.91;50.10%;3.85%;2.46%;U.S. Bancorp;Financial;Banks - Regional;2023-06-14
VZ;41.74;45.25;8.95;8.19;1.98;4.08;47.14;6.34%;1.69;55.60%;2.19%;-2.95%;Verizon Communications Inc.;;;2023-01-12
WBA;36.69;41.62;-;7.69;1.56;-;-;5.17%;0.62;-;2.30%;7.24%;"Walgreens Boots Alliance; Inc.";;;2023-01-12